yearMonth,eventId,scope,notes
# Delayed Japan-felt echoes (Nagasaki / market lag). Same eventId as world/catalog.
# Do not duplicate modern same-month shocks already on world/timeline.
1615-06,potosi_silver_wave,world,銀相場の噂が長崎へ（+5月）
1618-11,thirty_years_war_peak,world,三十年戦争の運賃噂（+6月）
1637-08,tulip_mania_burst,world,チューリップ破産の奇談
1644-11,manchu_beijing_fall,world,明滅亡の風説が日本へ（+5月）
1653-01,anglo_dutch_war,world,英蘭戦争で紅毛船が滞る
1662-07,zheng_taiwan_expulsion,world,台湾航路乱れの報（+5月）
1672-09,franco_dutch_war,world,オランダ圧迫の長崎余波
1689-12,treaty_nerchinsk,world,北方境界の噂（+3月）
1702-11,spanish_succession_war,world,継承戦争の銀・砂糖噂
1713-09,treaty_utrecht,world,講和後の砂糖・植民地噂
1721-01,south_sea_bubble,world,南海泡沫の遅延報
1741-04,austrian_succession_war,world,継承戦争の運賃噂
1756-10,seven_years_war,world,七年戦争の交易影響が東洋へ
1763-07,treaty_paris_1763,world,講和後の航路再編の噂
1777-01,american_independence,world,新国誕生の遅延報
1792-01,haitian_revolution_sugar,world,砂糖高騰が長崎・菓子市へ
1807-04,napoleonic_blockade,world,大陸封鎖の運賃ショックが遅れて到達
1816-01,latin_silver_disruption,world,銀不足の両替騒ぎ
1821-09,greek_independence_grain,world,遠国戦争の穀物噂
1840-02,first_opium_war,world,アヘン戦争の長崎風説（開戦翌年冬）
1846-03,irish_famine_grain,world,遠国飢饉の怪談めいた噂
1849-06,california_gold_rush,world,金鉱騒ぎが太平洋経由で届く
1857-03,second_opium_war,world,第二次アヘン戦争の余波
1853-09,atlantic_sugar_crisis,world,ペリー翌々月の砂糖波及（例）
1861-09,us_civil_war_cotton,world,綿花高の輸入品ショック
1870-02,suez_canal_open,world,運河開通の運賃・情報速度の実感
1874-01,long_depression_1873,world,欧米恐慌の遅延波
1900-09,boxer_rebellion,world,北清事変の市況余波
1898-09,spanish_american_war,world,フィリピン占領の東洋余波
1918-12,spanish_flu_wave,world,流感の国内ピーク帯（疎）
1939-11,ww2_europe_start,world,欧州開戦の海上保険・資源噂
1957-01,suez_crisis,world,スエズ後の石油・運賃
1979-06,iranian_revolution_oil,world,第二次オイルショック本格化帯
2020-01,covid_wuhan_alert,world,渡航制限前の警戒噂（国内covidの前）
2020-04,covid_lockdown_chain,world,ロックダウン余波が日本サプライへ
2021-06,chip_shortage_2021,world,車・家電の納期遅れが国内へ
2022-12,chatgpt_chip_boom,world,（同時）AIチップ高の実感
2023-11,israel_gaza_war,world,中東戦の原油・保険余波
2024-01,red_sea_shipping,world,紅海迂回の輸入物価
2025-08,middle_east_naphtha_squeeze,world,ナフサ高の石化・物流余波
2026-07,strait_energy_scare_2026,world,夏のエネルギー再高騰
